,Cov_0,Cov_1,Cov_3,Cov_4,Cov_5,Cov_6,Cov_8,Cov_9,Cov_10,Cov_11,Cov_12,Cov_13,Cov_14,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_53,Cov_54,Cov_55,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_3,C_4,C_5,C_6,C_8,C_9,C_10,C_11,C_12,C_13,C_14,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_53,C_54,C_55,C_57,C_58,C_59,C_60,C_61,C_62,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,18.1992760857635,15.6137075537745,13.4694204951831,11.7035262436732,8.82819482998362,8.07975804722734,7.35626287664672,6.53886817658812,5.01225285964362,3.51360134813835,1.98319859069594,1.11848892346054,1.41415471039671,1.34481200615818,-0.653548352281113,3.56188644563272,3.44474583263906,2.81669625613543,2.0114111670967,1.71880099325158,-2.61852136744551,-2.56841249147468,-2.96858280770022,-2.57407191165422,-1.404933940902,0.417418775020185,2.37836924402451,1.56109461136243,3.81420920221047,2.91570197616064,2.16910880554804,1.71759531344193,0.385698607340575,0.857567554060277,0.630085222549739,-0.966287481787498,-1.38194282350393,-1.91199895794133,-0.215317476870174,4.2072820847979,6.28326856951422,6.02284473528244,1.1235878033577185,-1.287643506137802,0.07518769276330717,0.04611363608342873,0.22846006968181481,0.08397387283625025,0.003906797033652265,-0.04805698892837032,-0.143238258036195,0.00486084389546941,0.19783002784178436,-0.1438879008221381,-0.04465549848511226,-0.11049325898980786,0.10191804170353715,-0.002937272359198665,-0.059257501576892954,-0.04565036745988447,0.02842727579970897,-0.016743382888123,-0.004338163358816155,-0.040512957322086394,-0.09879079933233056,0.0269945507944518,0.12994778512283167,-0.01609814205091009,0.0542239064772639,0.04967746073594974,0.12977561314184938,-0.19247004793142317,0.0016576147450220937,0.07717960158852949,-0.004740144547173501,-0.06104308402149622,0.09900342926493107,0.24079759293676206,-0.2348259092624683,0.05548657863071421,-0.051212405879333234,0.06436327033938737,-0.15802512577364655,0.03570938006449686,-0.49968671679198007,4.2648887542072496
1,15.6137075537745,16.597279882414,17.0919311425985,16.6726758990986,13.362369911333,11.3558570907274,9.36621451628463,7.27203596440971,5.54534034862398,4.1925249050679,2.80327736140854,1.91611011740289,1.97927522493332,1.82843370791591,0.871325154455896,4.75746619177978,3.75262362819822,2.30272216325419,2.01142140949607,2.01019784600485,-3.63748300690587,-2.56435311485667,-1.88324183842899,-0.329409333301743,1.415507187865,3.37958618909134,4.31077576720863,4.8654019036022,7.81989395437451,6.60355111566905,5.68332026113351,5.31692468110997,3.70064642623445,4.64721232293616,4.41653945737231,2.79977221848195,1.5716938636574,0.10794189590275,-0.88281350728145,4.10509452495254,6.04007054928562,6.89529635821925,-1.2867089716165452,2.9780313952192854,-1.2158446266406124,-0.18913220283280915,-0.144611800604752,-0.11334775588918228,-0.06364867768341649,-0.03364819412886704,0.05704216177107438,0.07986603437424415,0.021753564631485284,0.0010691943760316354,0.10993043060462243,0.03730049850890188,-0.07775407329546233,0.030225420996566815,-0.032859301729612156,-0.04359885925325376,0.14858767998341016,-0.03523057383372901,-0.0856784214859299,-0.017879259348771704,0.18700672582034175,0.013709124052315662,0.036355692492336396,-0.06540737052492872,-0.12479792896682633,0.01010798074038459,-0.20577977571325193,0.27785671029897985,0.06681603002897804,-0.14515166665913368,0.009614925612763496,-0.005833676397267116,0.03779563969759971,-0.15939970745119053,0.18897169431351749,0.04670353698965997,-0.07353525490531414,0.033094120609864455,-0.0026218775722459684,-0.016245450700591715,0.2028508771929823,4.072748443301398
3,13.4694204951831,17.0919311425985,20.1259369753168,20.8878563805108,16.889531305955,14.1694284533191,11.4561278643108,8.62087251998234,6.82196495269068,5.68618677143022,4.49663293182286,3.66842568441905,3.44570751474065,3.17203713097912,3.00018581636011,5.94784695964189,4.44451883745757,2.56652587270997,2.99911339918361,3.23677234126936,-3.93298653833105,-1.76849850588312,0.061855038689012,2.64983286260223,4.81995340292541,6.67383590457449,6.1327681283847,7.63249778116452,11.1906595573493,10.0391823350106,8.90492090775748,8.61399381619015,6.71397832894698,8.11882784429627,7.8466695926122,6.234905208093,4.2862140728983,1.99179548201489,-1.74659670230999,4.42775581348905,5.81910928881062,7.27068263959562,0.07489156141116617,-1.214384418845812,2.418997987701558,-0.8784646885780174,-0.11976155287812186,-0.11562006223677755,-0.1933302342999552,-0.21225053170548142,0.39870601313726883,0.06389372054133192,-0.17918387431001154,0.13849225379966185,0.001597820363740621,0.04567085102918504,-0.10101793147388054,-0.03364363877482765,-0.0011337022831601046,0.1453539046174039,-0.113155196516885,-0.17635375179993146,0.1188511014529477,0.048138143545565504,0.02482922124970198,-0.03051513105128167,-0.021872628905711615,0.07027105572370997,-0.16755789704355273,0.1517462077772991,-0.07719718319555353,0.04471147612818042,0.015886908490361312,-0.12209375319542778,0.04118450329687812,0.08683179723552209,-0.018151790508971956,-0.30058033880241547,0.04168885356477315,0.0829484679091264,0.08413331796843447,-0.16819328427646146,0.15356841555059686,0.03776004297114982,0.7506265664160402,4.485079372242679
4,11.7035262436732,16.6726758990986,20.8878563805108,23.2784734579335,19.1512053525149,16.3956344456966,13.6308017989902,10.7317750663449,9.07095492031796,7.72010371710557,6.3102709578886,5.26147086310152,4.67364673179733,4.24156039058244,4.38158701951657,6.8806651404973,4.78140593373689,2.40575460944173,2.58620640804234,3.10250808803414,-4.79637452531828,-1.66706780075824,1.19988519418666,4.65643836911125,7.21685260781149,9.15137424403893,7.70340887629025,10.5264827673031,13.9685595208699,12.6673491728725,11.1707647818636,10.6084576952243,9.09457390898035,11.1675396911676,11.0787891859423,9.47667378551445,8.14768097107176,6.64069271184304,2.00928218513034,4.9876118721009,6.87730918160962,9.21878265996003,0.04415322939608502,-0.19029696364586435,-0.8811586196123948,2.304682066614738,-0.8480375364127891,-0.38522303040267575,-0.0961708479202942,0.09004362240797747,0.03824536948851173,0.02656303993222941,0.07804768391764688,0.0701868839220961,-0.14325452632143357,-0.043335925119942546,0.0666671593647697,0.011573474429963579,-0.09208818762296295,-0.008265845073096377,0.0938453170267256,-0.3759230394149723,0.4679265679390442,0.022651422575290278,-0.1686059610625208,-0.011807804863302311,-0.010786717962663256,0.024432444504403572,0.13327386761151935,-0.12722099253897914,0.08593038063920479,-0.06415134711492303,-0.12638872401605694,-0.01698162117547188,0.1828550035606059,-0.08426008190358754,-0.4744876290039494,0.21321049451825308,0.16279555832478315,-0.2862858766675495,0.17302984860779308,-0.1918095761327938,0.15372808277989689,-0.010253968379043445,1.5578268588137008,4.823740608483572
5,8.82819482998362,13.362369911333,16.889531305955,19.1512053525149,19.2552756145834,16.6523531147183,14.059354183397,11.3356161757619,9.96011658417167,8.35388437769022,6.68458293513041,5.31197053761449,3.98986879636357,2.76561099378961,2.92003250907442,4.56481405204434,2.13296697351481,-0.328655688476129,-0.54013655736624,-0.177448631507229,0.619914800264538,0.705164163031613,0.783633205964023,1.56458271976581,2.14606373935456,2.07980781467755,1.84160975857589,5.47294288786328,8.03544456201263,7.65831429589658,6.99928745776909,6.52177243775842,6.0763555939003,8.59331877727206,10.266215483929,10.482434585834,9.13930451830612,7.09511074429081,3.05446605486723,1.47449245792329,4.21547208887364,7.06393764614274,0.21729575955824162,-0.13480478924706663,-0.1251874699326064,-0.8554528138084224,2.7044295885670318,-2.1800571664694712,-0.3000193967357474,0.8254203520023234,0.009933856084211701,0.019972938726303773,0.050567036942209986,-0.13072026985180693,0.009466771408962044,0.008001445405379573,0.056292392085581476,-0.08283998827509392,-0.021640393849673537,-0.010596069569972924,-0.024473826969581905,0.2599372235013453,-0.29668840754597164,-0.04752693983136542,0.1466867413049675,0.02730136260695655,-0.03264683478341749,0.006309238252522795,0.04674907208707956,-0.03777981441852552,-0.011768337729063634,0.08401138370706042,0.0035377699307334877,0.1024079656031057,-0.1422701597513208,0.02228976075641032,0.19360072105794202,-0.006772599474650315,-0.20450745134366702,0.07495013200709164,0.02635122683033421,0.23792637361699853,-0.23539903766353895,-0.005834027973067873,1.4763366750208855,4.386943766973011
6,8.07975804722734,11.3558570907274,14.1694284533191,16.3956344456966,16.6523531147183,16.5472316031612,16.3964063824435,16.1193256985305,14.840735622244,12.7220941458163,10.5428381496009,8.61599027554134,6.21925034366764,3.848056317337,3.99750854175137,4.5821603480858,2.08294198171043,-0.17051244969311,-0.54745618823655,-0.597023578688929,-0.620475090989532,-0.138352538422166,0.574564884631938,1.80086558050781,3.42041682516328,4.33807641853482,3.73299155074997,6.82413453592909,7.83234448478492,7.68865762964567,6.65875595814863,5.6600139401741,5.08933011217667,6.80282389986809,8.53703371570927,8.9645162168477,8.86063689450372,8.90443802964154,6.04669507302371,1.5563558529651,4.83204635520798,7.65978229025835,0.08202955514076787,-0.10527440510202579,-0.11707369962708694,-0.38157224629031544,-2.1792674927904545,4.977609530167872,-1.543724867984904,-0.18810922082322853,-0.3315291745188139,-0.11799320208846256,-0.04026547791966507,-0.04261325439080412,0.09618414735066974,-0.006381912577682122,-0.0041266742369345895,-0.045998010834106595,0.0009551616159400914,0.035204970443154265,-0.09236198850199236,0.19589132878181784,-0.1718115086416478,-0.013670794370762601,0.07769514133599667,0.009457186055085911,-0.0877872650072489,0.02819916989060809,0.09522620551574479,-0.07241463173356563,-0.04440358118006884,0.010426612272792915,0.002168863603810408,0.052494006087490684,-0.038816149389114415,0.027787644041276895,0.05554265817461049,-0.012911727502609605,-0.058536314934368866,0.0061303856592133665,0.005545511099388745,0.0925343816292351,-0.05596492863010385,-0.04232369855555938,1.2692512531328322,4.066599513495418
8,7.35626287664672,9.36621451628463,11.4561278643108,13.6308017989902,14.059354183397,16.3964063824435,18.7637503529461,20.9414002160939,19.7523114909378,17.1396201366743,14.4662665399031,12.004860077971,8.54776029289577,4.96020964430455,5.05759410242608,4.54337954844979,1.94197517922504,-0.12971773238226,-0.669076367698325,-1.12218178787402,-1.93199051473573,-1.07042618716158,0.265473180996423,1.93751582200208,4.62038480872874,6.57530305733119,5.64929404437116,8.08095850975066,7.39702857943563,7.53294152175421,6.22351864691836,4.78787984125247,4.15038382969732,5.06172502272188,6.85545216006364,7.48095982045005,8.60205268787894,10.7316812923961,9.05617634509293,1.72767602301872,5.55770773370911,8.28290527158416,0.007178385735460232,-0.05286990454171121,-0.19400082260637974,-0.0978946559975647,-0.3012571087510143,-1.5471971269940634,4.934038049866519,-1.8683407393051013,-0.5887554370833151,-0.33408515039838577,-0.10878174950789186,-0.008454156409731644,0.04202976398258085,0.06132385341423774,-0.01172027090014882,-0.06703064172159136,0.015615435309768144,0.08524958639511003,-0.12344779724259261,0.1291061128259912,-0.10737028717663409,0.0005355848758879459,0.048461890584562996,0.021840259383843035,-0.054792887479814346,0.05581690720229402,0.09909688337251767,-0.12028896868846484,-0.0027040255386194135,-0.03025853124234579,0.010450109740319328,0.006641559264053379,-0.009559383389461518,0.02985195653121539,0.024817589355675455,-0.04898084910983867,-0.004946192828271875,-0.018781514710993,-0.005769338405614761,0.03353025195660634,0.0009805700977353871,-0.06616542268403934,1.0825739945100847,4.3305600507262465
9,6.53886817658812,7.27203596440971,8.62087251998234,10.7317750663449,11.3356161757619,16.1193256985305,20.9414002160939,25.6469711825358,24.5233273342525,21.4270834271397,18.2709025728395,15.2826163856253,10.7786705720371,5.9755562893773,6.03062233312379,4.45034679135321,1.71884377770605,-0.205224577063769,-0.927830996633433,-1.76201672818525,-3.3130444025488,-2.0675094871641,-0.111947668123788,1.99475815917243,5.72311863525441,8.69110101674968,7.45464914306931,9.20992698079809,6.85407987635605,7.29552916492995,5.73154143792549,3.87731331863471,3.1583861127111,3.25325290945549,5.0931713281917,5.90226841230711,8.22933051801896,12.436341729066,11.9731264299834,1.8831638177333,6.23525813425615,8.83840144075518,-0.04246025992950608,-0.03322442045533192,-0.2342449153825254,0.07915551972682577,0.8254287665884272,-0.18824520171258094,-1.8639630105336285,2.8491344495825954,-0.9174500771092062,-0.4846306978335652,-0.15317497057108856,0.07596561176145529,0.04326453492035621,0.09509063454979143,-0.02815927702328051,-0.17224887062426225,0.04870527459388609,0.23732951058661989,-0.12805595189380312,-0.010851716197724877,0.0034782775893665873,0.0318280034125102,0.005607152287952658,0.09828018133384933,-0.019596389616150196,0.13011609122275963,0.04004890485463062,-0.1115041783658957,0.03854858825506132,-0.12989982595137953,0.11672861640588343,-0.11843656035648963,0.037190475281192056,0.056116053196479485,-0.0035992459420200506,-0.0816998740181181,0.0887335775251253,-0.06697177228526607,-0.023643719727992743,-0.07213800868242971,0.1099849938466939,-0.0999559529809597,0.9137538787444802,5.063296473892849
10,5.01225285964362,5.54534034862398,6.82196495269068,9.07095492031796,9.96011658417167,14.840735622244,19.7523114909378,24.5233273342525,24.2910271831655,21.6913637751522,19.062331697276,16.5895160198655,12.2877963247965,7.61797806214944,7.51233388201706,4.30122691361166,2.19095749577989,1.09411872119897,0.651084086085849,0.417461308183486,-0.728492470574276,0.209286841608073,2.04105195704541,3.93208837196718,7.60488143124131,10.787799843497,9.07156100172593,9.79862224388152,5.67525684335525,6.41431284735474,5.33253735612404,3.83633645990762,3.14258848558031,2.57868801841764,3.84388374097513,3.94709866594901,6.009268184717,10.0881438026615,9.04145819106908,2.26074441904317,6.10144655079721,7.92048493800098,-0.13828480117447434,0.061514255228288274,0.39196913678587086,0.038517355249499834,0.014341704120479238,-0.3346843540790875,-0.571488546092828,-0.9253404625352147,3.080600809689389,-1.6431517451628588,-0.24062344953665432,0.2545352069483726,0.08531927473924757,0.025511858720860224,-0.033447207753223615,0.21378927570691844,-0.015512460903560519,-0.2618691198892085,0.1736273939907874,-0.1407049712865737,0.08355169880076986,-0.00923013958724947,-0.005831942879113378,-0.04727299845662402,-0.02698139940830545,0.09744507708891625,-0.1044908772222912,0.007670776658541165,0.16270485518868608,-0.06245957531152772,-0.24279250584190573,0.03810263723975749,-0.007364074199241651,0.009812043289264464,0.04012361187599446,0.035975983130419664,0.04149373410782094,-0.03348789974563504,-0.034000659303940306,0.07394254134842489,-0.1084564412562189,-0.0006323879566248462,1.2540749194414609,4.92757822699605
11,3.51360134813835,4.1925249050679,5.68618677143022,7.72010371710557,8.35388437769022,12.7220941458163,17.1396201366743,21.4270834271397,21.6913637751522,20.505430906706,19.2082229550092,18.0652591610942,14.6160695392642,10.6481697298213,10.1679576839769,4.77685821350428,2.42608370249159,1.49296798754318,1.24817818577282,1.32958298414727,-0.189721110953768,0.822761622010189,3.09275525614642,5.34185161900576,9.21760109201793,12.884341882248,10.2254619467575,9.20845246558649,3.91433391247729,4.56896854750529,4.05848689327233,3.05882102136216,2.48581122770889,1.63835467387693,2.40432369622156,2.05360310353157,3.57197998569678,6.98187118283785,5.0862507611846,2.22852218879585,4.76468469183714,5.68025419591547,0.010400658416489477,0.0927026327355383,0.0623832257084785,0.027952401161824982,0.022604707734214732,-0.11002513271182982,-0.2704391170215701,-0.5124030816845452,-1.6527925679952045,4.4369642539029375,-1.400631386709085,-0.4321973255918276,-0.16100813638309047,0.0038485095461808245,0.035399512974890655,0.08918221348090541,-0.0050572843892559265,-0.08345345768188973,0.05520658626472266,-0.04472071007401682,0.028195931203100173,-0.010530287818891926,-0.013594351146483252,-0.034034833060758114,-0.02929613654942851,-0.028092546524609192,-0.0051910901240913325,0.04449106197784244,0.0204651959061963,0.0008501369848673009,-0.03653130023302131,0.03332268721844211,0.012322752276056862,-0.03302461821663148,-0.0007839479170930892,0.0366765798876738,0.03742353024425822,-0.0022455054255903512,-0.02344217830157022,0.024869655628706352,-0.04740396289143126,0.011638315319227929,1.150858545172455,4.527187969005258
