,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_5,Cov_6,Cov_9,Cov_34,Cov_35,Cov_36,Cov_37,Cov_38,Cov_39,Cov_40,Cov_41,Cov_42,Cov_43,Cov_44,Cov_45,Cov_46,Cov_47,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_9,C_34,C_35,C_36,C_37,C_38,C_39,C_40,C_41,C_42,C_43,C_44,C_45,C_46,C_47,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,599.531143966547,84.1396855955752,15.5741335405745,307.612786528895,629.785820970008,-19.7631542645404,-19.2388450698311,-9.35848036016346,0.759669000987804,0.853940931322769,-20.4691201675154,-10.6209931055605,-12.2593900041763,-12.3434689053944,1.26898030923892,-2.55933029962003,-4.89723079236773,-6.14241045865189,-2.47490280741874,8.37498333915734,17.0828884950037,7.54898632142755,-12.2393085990241,-23.9696059304843,-22.4008125386019,-25.6523462085255,-26.1776423143236,-21.0729319438212,-21.0087461896954,-18.1825224220315,-19.3456974981753,-20.1822651546718,-16.9735748814573,-18.7483147480106,-1.08164657489325,24.2326871938087,2.32766192195048,-1.35636820821583,-7.30034142669366,-11.2357132941174,-7.48216798196054,-18.553037552421,-23.3292037085299,-44.7830114008665,-55.8221282864793,-62.1971807644517,0.11485558848397039,-0.06415016900744787,0.004654700403990199,-0.018231002615036362,-0.05553912726078708,0.08207681534775056,0.009366186727391255,-0.02526561775697963,-0.09079263977674548,-0.06670607026631657,-0.0053990836619356025,-0.016006052728653217,0.017797427333339073,0.06440728999113692,0.011717187022154218,0.04482672615208684,-0.01015935578663215,-0.07132898450181542,-0.029959149369426247,-0.0026127757878604122,0.07468744455255936,-0.08679636062458962,0.027418827395806627,-0.023379097360617194,0.03665740385829601,0.012256812264308256,-0.0012950423315040047,0.0020410567834834637,-0.042379626415206754,0.0055033063658258535,0.037980433179331446,-0.024429945614048747,0.03231341170454452,-0.01905633515148415,-0.008855169718674883,0.0028562258786554106,0.064454483197764,0.016444345603107712,-0.01374905047094339,0.0005264558205553933,0.05987711816727026,-0.021122517566447084,-0.09252820127292069,-0.06974368328470541,0.04732166718936553,0.06160837366353874,5.856989247311828,24.485120868938903
1,84.1396855955752,64.0341046063985,64.6395896503768,54.3236816848754,74.5581913257489,14.3906167813548,4.65437798420218,5.95639731675201,7.28562669439949,2.45376459279994,-2.73044747385857,-5.4235912761763,-6.48852369222649,-1.15633823409765,5.13881573989544,1.93761529711767,-1.01651829949922,-2.34749882911112,-6.34811188752443,3.63753423863724,-0.716196191113634,-2.01064381690874,-3.9705590653708,-5.06043329110235,-6.63924904288634,-12.4730167948055,-6.49105793316502,-4.76468665870515,-8.72832045978785,-8.88070329925646,-13.9186788510482,-14.3033203693997,-9.51111185597171,-11.4892510571265,22.0333721970563,52.4196375825341,8.04025500778321,9.6315909352181,9.8554050795265,9.5811386032263,14.7951243361019,-3.43171118651173,-14.6746212297801,-24.5543483922215,-27.866133349433,-29.2521121656839,-0.06403753158209119,0.6200729310170586,-0.21719410755564372,0.37129157933541135,-0.18635099852478904,-0.08800828715577949,-0.0556787651756166,-0.10363192793209014,-0.19190346095999228,-0.0728086886699003,0.012427344854689892,0.14603917784013815,0.09703171617058344,0.012571961702503616,-0.07714110955206739,-0.11450925173072173,0.017569637159574623,0.12368041436542614,0.018222450095908154,0.20646208188035628,0.09478267498744354,-0.06976178295943943,0.04282659004287826,0.004485090567141494,-0.013566595644953711,0.1984465664748471,-0.027241170049255872,-0.18529877317597993,0.09938336570928626,-0.09827273405008004,0.0036226669013654255,-0.0017771706743818828,0.05611552990969812,0.1440072698737668,-0.08234757193515731,-0.002563123287607631,-0.18399449736672663,0.04950445822870048,0.04002386731610291,-0.08401935987762,-0.487937526798834,0.4720250002244275,0.11579543264738362,0.030089890048253624,-0.0491027062832362,-0.06575200492978234,1.5419354838709676,8.001506396073085
2,15.5741335405745,64.6395896503768,486.298172259744,333.91113922485,200.904037409169,123.028108047174,9.39979665425041,4.41763306197977,-0.415084688247008,1.74057914427069,-14.1652525093848,-6.357143305304,-13.9950480380889,19.3232471920904,22.0322335203318,11.9198085207121,3.80827664124541,-3.64464946045017,-28.0045785751457,46.8283225565491,-11.2101975447384,-11.5735890938402,-7.22042410441639,-19.5240234562737,-23.4151874524021,-21.9501509701662,-17.3028654816093,-8.74172219123096,-5.46317523208511,4.26824407174488,-0.114595432592804,-1.33291637571022,48.1076851117579,86.2798234750218,152.37712614606,100.19854995138,-7.93105253573111,-10.843906240973,-14.437399985951,-17.2304754595966,-10.6452952770839,-18.4961161220078,-20.7776693262596,-10.2368808437595,10.4588885855425,34.948836806605,0.005382830537854968,-0.21749863278744092,0.4243533911633033,-0.5627479699326979,0.28338437547867185,-0.08882341394884889,0.12720830411574474,0.030329197789643866,-0.06706852174508433,0.18708303743916033,0.009839733164546817,0.04308586594817001,-0.06982887277570095,-0.10640813268472617,-0.11113438192524172,-0.022816327863441503,-0.0022616255118139933,0.07342785210158158,0.18323899417403125,-0.1668714843763206,0.11018474095376395,-0.010254520989238111,0.07668524503290172,-0.005096541202884358,0.06541370029138323,-0.028578969688898326,0.036975291172246884,-0.17399228147127416,-0.07263285339672229,0.1179267069390506,-0.07284360558014437,0.17591787555108632,-0.0879699876108036,-0.11492885884853198,0.06677146561694322,-0.07192060557717404,0.02166113931490782,0.0393747499502815,-0.0004031161762581256,0.11134462203061195,0.05655304095565984,-0.16471155469704168,0.056387446128025875,-0.005867101636572441,0.22413050065590603,-0.21440524742021858,3.895468509984639,22.05194259605589
3,307.612786528895,54.3236816848754,333.91113922485,464.631633445493,580.430209522066,87.1806016193274,11.2402181494788,2.64937866873161,-5.72371940417668,1.27405716778046,-15.1836493455971,-4.30185655951452,-7.7382385845043,10.3149696372162,15.1737840319747,6.03794436440732,-0.410023077669863,-6.75004229926851,-20.6717300933436,40.060468985482,3.88950937094222,-2.96204933258712,-9.76152109603408,-24.8215192203333,-26.0422168348888,-27.2461180969094,-31.8993524207099,-26.7838527054968,-20.0443880553548,-5.68020397049719,-8.3606266360197,-6.80953150369661,31.2900583528604,60.531126656593,77.9797113269766,13.3982156113134,-1.49093022898693,-5.69683325057059,-9.62505756814358,-16.9514389444965,-13.2365903764168,-18.2153370048975,-20.6640196389493,-20.72680300063,-7.48575973695309,10.369207190814,-0.019598147065836704,0.37289287330335436,-0.5559551494406617,1.5685050615704155,-0.7890982605910069,-0.5953160584191511,-0.14625952783500595,0.04033731923803376,0.3130849865185508,-0.17649784161183946,0.05750609289250433,-0.07188093032889918,0.1478570580145938,-0.07941911438284789,0.029260322470215944,0.20159635579029597,0.11243898961273657,0.026707197649352768,0.3203950447493398,-0.20276999194131595,0.043313510037451194,0.12379480596343326,-0.08610494559534124,-0.06678100569199585,0.08851236945826817,0.07103953870815005,0.01580065941063933,0.24744241511251713,-0.004659274951987349,-0.3588214621580043,0.19810317820610235,-0.04726508116412092,0.1040191331196522,-0.02062392606762772,-0.1760451032009751,0.11666973372227292,-0.021009029543361243,-0.04617606708091919,-0.03561077213726505,-0.07797012527945019,-0.037776880962722796,0.17234832179852913,-0.24546445117697535,0.06958684475495053,-0.044584560274629925,0.08977285067599579,4.766282642089093,21.555083703050027
4,629.785820970008,74.5581913257489,200.904037409169,580.430209522066,961.028317412907,34.2229857857594,-23.7298043625045,-15.6713171222725,-7.31349267152094,0.694710970650844,-17.3915721181485,-5.90703842343267,-1.67436975818138,4.04004267559476,11.3698787933214,1.93213328557375,-4.00770629101786,-10.0936826718091,-14.9962119785908,34.3832499628505,21.6334751793682,6.54893144029187,-16.0403666490404,-32.5161367435952,-28.9270672644514,-31.2592804173793,-40.4451530521504,-38.2314725481528,-33.1052886214016,-18.9822147627287,-18.8288981281325,-13.1245825757769,14.167476755075,29.2941991625401,34.1950465140479,-5.10166215296463,7.08285265191741,0.932465825801159,-3.95198115408933,-13.7468081779118,-10.2377084980129,-18.5644402447631,-24.5622806536907,-35.4894782121022,-29.2232756690587,-17.6071338857748,-0.05527412047416806,-0.18736326204896223,0.2811861672763443,-0.7886317205018548,0.4811672077206845,0.24677610416080692,0.06734950564405316,0.01803129278773554,-0.039085005479602766,0.1382817347003367,-0.017289862938600253,0.02682708903239406,-0.10102303787094663,-0.003009361429747797,-0.020785103699228015,-0.12323504383709621,-0.043627328255827096,0.047261389759648144,-0.15793931990830667,0.0870072317723324,-0.11980543894602033,0.024800154856760178,0.01797947543805282,0.05532150348205046,-0.07822252439504106,-0.06863798981202542,0.017468786420995242,-0.09673370590574583,0.034711363879982804,0.18277674978510772,-0.12259652137933087,0.03736464589990885,-0.08770813690042817,0.015916560783769268,0.09488752010924946,-0.05634971897722621,-0.03401029902763884,0.0107385979701041,0.022639786027537443,0.039615781705978854,0.014866999685752929,-0.11360121004160771,0.17698396202793681,0.016990512140092603,-0.00040243015991467813,-0.08408123921359538,5.892473118279569,31.000295440735837
5,-19.7631542645404,14.3906167813548,123.028108047174,87.1806016193274,34.2229857857594,48.4696944640859,34.5600621191059,18.067574481173,1.62156964461873,1.72897779521043,-2.4816908415024,0.147202917888844,-2.10054125920128,3.55817159885821,4.52910256406128,2.40201747120836,1.04356309484792,-0.0993752569327528,-6.75158370116641,10.1779465714143,-5.89347765715664,-5.45202491684532,-0.135454297055503,-3.57031756926058,-5.5694684776842,-7.05714175090658,-8.73418128310442,-7.16614653183533,-5.46316259610229,-0.0849125672144973,-3.66899198184185,-4.26304094182617,10.3671222834852,20.2440535729672,31.0675953631676,9.61347045581705,-2.00009771992984,-2.50601682699322,-3.17193351108223,-5.80935635042416,-3.77262391319821,-6.69387179272715,-8.54356820794198,-7.88290902187884,-3.71328784041108,1.03601680132414,0.0813104318456859,-0.09543412978795843,-0.08892204152921235,-0.5951070250873125,0.24966893550053035,1.737324486281663,-0.42373145361163383,-0.2670995108090427,-0.2316312800380843,-0.4855096576406155,-0.009817108831550991,-0.06610860372863474,0.05993061037414013,0.07234633662440869,-0.19029801764279305,-0.32947860314307387,-0.0695653232713584,0.05089468533393195,-0.10656588090152522,-0.24515707493103994,0.3106402751268,0.027900057604445663,-0.2366817495107637,0.15501971026332298,-0.2771996279616136,0.057552100022822704,-0.041305960784018415,0.06739109840616817,0.1036930804084434,0.05202123806562755,0.08701221107991952,-0.1446649951071004,-0.10585395940162168,0.06133108033594566,0.10214771157923104,-0.035817500436348036,0.241241097182723,0.04346548810129975,-0.03605032756904558,-0.1765362643843112,0.019844615259303693,0.02639239018294201,0.2359694710045905,0.009511321644728078,-0.2713624273877213,0.11161458677388839,-0.07004608294930874,6.961299768296572
6,-19.2388450698311,4.65437798420218,9.39979665425041,11.2402181494788,-23.7298043625045,34.5600621191059,69.6193978982274,36.394138651026,3.26988325440563,1.99918343560936,-0.217941022466906,1.64669205645184,-1.3268006571455,-5.51965778517828,-3.2623821966677,-2.32168809986977,-0.926266843094234,0.568373197948424,-0.260792390500699,-3.38449536979296,-6.06319018331945,-6.31186479255178,1.86459298138573,-1.72911848366643,-2.00797369458908,-4.32238634968926,-8.45425356505649,-8.88106494396586,-9.37957776779075,-6.04647607917156,-9.54114635927784,-10.4255746415012,-7.05715829600368,-7.61564907880935,-6.16316158973519,-5.47111267031964,-0.698181737416997,-1.6329642674163,-2.79801099218389,-6.58895944836272,-5.37742518834207,-5.76467861719404,-5.80793145331436,-12.848232805143,-16.4676897919096,-19.8072603720643,0.008425602937887402,-0.049618897026987,0.1234432177438755,-0.14617492497779538,0.06945023435042476,-0.42582958014688865,1.400146058279123,-2.008620936806323,0.6754649514630892,0.12804644702213422,-0.02854137313108603,-0.13191325586449548,-0.002814642056761432,0.13607567096423398,0.1996097700925034,0.11105916768302858,-0.0287179376393425,-0.14558028815257915,-0.025216315162969443,0.14090002124770196,-0.012192397945144469,-0.09068209544146484,0.0632988452153739,-0.021305288088608994,-0.0028391897403741407,0.03620191526667398,0.015513467172574081,-0.06500371333585289,-0.009167172428241386,0.07614943984542845,-0.10815403996168754,0.012762574467522313,0.11459069425479834,-0.021988956486548153,-0.03852273987805638,0.017688978143104522,-0.18697897744517156,-0.019541611723006284,0.1379565068784189,0.12051603971539376,0.0413276186981697,-0.12251549849373172,-0.13793506278258996,-0.12830170381414138,0.1446776747998208,0.06675377463898843,-0.2798771121351767,8.343224670247553
9,-9.35848036016346,5.95639731675201,4.41763306197977,2.64937866873161,-15.6713171222725,18.067574481173,36.394138651026,20.1710226120715,3.9584272959063,1.37182084801797,0.432471726559798,-0.971982923819577,-0.735977445489594,-2.58666769867544,-1.25540417647339,-0.5444494275352,0.13951485836579,0.830077822712695,0.416361804548999,-1.4349016664254,-2.09480281874632,-2.97051809035163,1.53084369016945,-1.84714164286099,-1.6303633021275,-2.37391712968096,-5.87756445802287,-5.79316536614162,-6.08589680523798,-2.89956120709429,-5.62381302771445,-6.40730199244122,-3.70205121208953,-3.46311398826596,0.749603140377301,2.97204463855694,0.470317609555801,0.379664769961955,-0.219874060803926,-3.77409560094456,-2.74500186784903,-4.01642214883789,-5.73470218449387,-9.80478728812306,-11.9431754457075,-14.4382272522422,-0.026404169882618907,-0.10907295756964293,0.032165037565572936,0.04549548919192352,0.016514386300974623,-0.2898308270765517,-2.009280587327647,4.335646422298736,-1.5016404894693625,0.01890003994165409,0.01391489378029989,0.012099579241750546,-0.07318677748267881,-0.016519663453249355,0.006918521690600599,0.00011860738007226026,-0.013446824802931452,0.01592901057349754,-0.11767540568599096,0.05141326726982969,-0.25508081773799435,0.13704005591389914,-0.03138071589115609,-0.03738983070437644,0.03696248815970664,-0.1771096922959559,0.1753365781208264,0.04102911210340264,0.009969255356675704,0.01746501947791647,0.009482166183549882,-0.012953745400354105,-0.04754932411244055,0.022085053025687935,-0.028379760356533622,0.0187758062117838,0.006535830149187752,0.018598360312378385,-0.09187335744681208,0.016556825434281726,0.07337086266900614,-0.07802757320298487,-0.0564986825779561,0.03285770315615573,0.04410973841627775,-0.02288952100414051,-0.9897081413210446,4.490102739589766
34,0.759669000987804,7.28562669439949,-0.415084688247008,-5.72371940417668,-7.31349267152094,1.62156964461873,3.26988325440563,3.9584272959063,4.79957628610982,0.797127837071514,1.13102770559708,-3.68082460781654,-0.30398004956806,-0.142866623096586,0.39733210474374,1.09796393846832,1.0777009145509,0.970745449664224,0.980851338505805,0.445551502738692,1.82206800153637,-0.0497391757873382,1.04950444111874,-6.44120989377188,-3.55490783228491,-0.534912746970508,-3.34770244765558,-2.71359691806023,-2.76010260455627,0.292616577996456,-1.54141601491779,-2.10012124061114,-0.142005364035689,0.847860239170927,7.87753726820275,11.7811099308852,1.86953420884135,2.57004612477247,2.49675344481609,-0.865427740401339,-0.111077923190973,-2.1145112698868,-5.33976847255592,-6.38581749301703,-7.06759557879769,-8.77008373062803,-0.08983158790653836,-0.19136430041513117,-0.06417564918096948,0.308797355564269,-0.04011601980586857,-0.22407489173239223,0.6590375412136783,-1.502541629175399,2.8376629218531324,-0.005194963991600794,0.09402108306710152,0.19616368937981804,-0.17191793105161346,-0.23174559299400968,-0.20818208509139555,-0.08278971742390466,0.009105638876825478,0.2609053004628271,-0.13297623317935583,-0.06196978757222271,-0.7521063636177906,0.5364899225844514,-0.20016399640540142,0.021520643859660463,0.15590462585344447,-0.5471231677859225,0.3585795511361739,0.1924145646255662,0.03009636817024532,-0.05516120505756512,0.162471139081251,-0.03683527130503486,-0.29079274684930817,0.11819382120726825,-0.06582596248105423,0.054899110872055644,0.22235627960924215,0.11686682703544653,-0.48209900884333673,-0.06664679905894062,0.11818111804441715,-0.06777887754365193,0.046896202200091844,0.2641239079682663,0.05243859676462442,-0.17743254079681067,-1.7479262672811062,2.1885100607741843
35,0.853940931322769,2.45376459279994,1.74057914427069,1.27405716778046,0.694710970650844,1.72897779521043,1.99918343560936,1.37182084801797,0.797127837071514,2.46591397849462,1.94481177819011,1.05349643531861,4.62346756557889,1.13408717056296,0.804486939330609,1.56091171663357,0.973979722233029,0.296022786535936,-0.602384441073799,1.7139706573456,2.62379884592647,3.18668436346444,1.5394802938647,-4.20565502322872,-2.80326169024895,-0.959049007390149,0.86544933517725,1.44745455364995,2.73650562958887,5.38861802587068,5.98250896972793,4.82989396048206,1.17277772842237,2.89733011653903,0.30725870985841,1.22452119121981,1.47874857806389,1.14383059874758,0.690638926379906,-0.018756857252165,0.162598159560835,-2.2813271161549,-4.51468650520063,-6.59107464933886,-8.02062621341413,-8.49845459205857,-0.06639601994863047,-0.06994213701202931,0.18623319768116958,-0.18114960871087338,0.1394052395553348,-0.4879208689370743,0.11993440542541471,0.01892681448147981,-0.0068749486270717215,2.7706353332821667,0.030565480922453793,0.007845161328442329,-0.4549643016948012,-0.04329486816199125,0.15851717434454773,-0.0030797617396381384,0.13743199731937977,0.5201410492891637,-0.3294299099806784,-0.09720806619591667,0.269965895323505,-0.2197205223130824,0.4269564959304129,-0.06550892800287554,0.1865727178424334,0.00873396335014669,-0.2562980842911778,0.14863744181061744,0.15837484684184364,-0.22573794464375568,-0.28172289693647895,-0.12723686186803043,0.21891410491933805,-0.04947360771336768,-0.04309352325199723,-0.05977778882171783,-0.06507915537963288,0.1324429648249229,-0.36519300403017796,0.14309144995198572,-0.02294172550311456,-0.18201336454575828,0.1635644538929808,0.1323132239368633,0.00764041216589832,-0.0414406658630223,-0.5483870967741935,1.567135596716067
