,Cov_0,Cov_1,Cov_2,Cov_3,Cov_4,Cov_31,Cov_32,Cov_33,Cov_35,Cov_36,Cov_37,Cov_41,Cov_42,Cov_43,Cov_44,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_54,Cov_55,Cov_56,Cov_57,Cov_58,Cov_59,Cov_60,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_4,C_31,C_32,C_33,C_35,C_36,C_37,C_41,C_42,C_43,C_44,C_48,C_49,C_50,C_51,C_52,C_53,C_54,C_55,C_56,C_57,C_58,C_59,C_60,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,15.0895615790522,14.925396859097,11.3749598151228,7.25192501126179,3.69072946270849,-0.579051281334646,-0.91962243870986,-1.81485450434706,-1.85900491076132,-4.30108743173446,-4.23885338781611,-4.20539230250056,16.8469344658242,38.1061429577282,59.6384994077459,48.1270891077107,36.6895295244848,25.2457281267593,12.2581522226529,-2.4934735658398,-2.29325107404916,-1.34524935679712,-0.294018906711911,1.48645472947562,2.54689639552175,2.99607081189764,3.60770293392154,3.64755279817289,4.46630434263893,5.16195051015852,6.1149411291436,6.67485244313889,0.954480571624961,-4.74495112073772,-4.49577218767996,-4.01065382291607,-3.33021467729176,-2.64902866185982,1.5318243612389661,-0.8088327337969898,-0.4671384041454034,-0.12449291095494294,0.05984225060540254,-0.10153731101464543,0.0712504870561897,0.09128942275576207,0.06817797103939402,-0.016964467495040783,-0.0916330373720499,0.05393084784461686,0.019133247463610153,0.07584379373434902,-0.110383533738609,-0.011059638612041173,0.022175271395649263,0.13068145176379736,-0.09589845405701912,0.04852827857603442,-0.11736458967288904,0.2714152737800539,-0.13685738827914484,-0.03282317575796324,0.02620598788633166,-0.09923219216599637,0.16464222953934085,0.027236638076765483,0.0002935252217023584,-0.1232976600102931,-0.13519448583785657,0.08625254044861573,0.004404119861280098,0.017713694373343407,0.01737849432701732,-0.016087851166364842,-0.009818663800227887,-0.008755819219971605,-2.003405017921147,3.8832411178102464
1,14.925396859097,15.7195476921952,12.0026732221985,7.67105446653233,3.64255105105572,-1.20415902117427,-0.839695271735155,-1.17213387445947,-1.12119789672306,-3.27127329037677,-3.89647542378092,-4.4741885716041,12.6916593972487,30.0881163072966,47.4705066803304,38.3772733712995,29.3602498930086,20.3402943937426,9.38169922179743,-2.85978163855515,-2.73614112623795,-1.76036513422269,-0.92421996201946,0.810295309284317,1.86900175331838,2.23383782953907,2.44310458780459,2.00703195114043,2.17970901547545,2.16988161401979,2.3891210014568,2.27140471777835,-1.48533565904111,-5.13087326538796,-5.15033598582529,-4.77190550540664,-4.06943753533067,-3.36671345024426,-0.8116333381980994,2.070552229203288,-1.3982873180589288,-0.24610370659874156,0.29646343736594816,0.3140793871046542,0.09368483993719044,-0.19799499862584158,0.11144418582184776,-0.06523115552384752,0.07321617155048186,0.024434926097035067,-0.06554966254448681,9.108600554856802e-05,0.04340008032787711,0.007359153276602662,-0.014464944617474385,-0.04457863164847789,0.0764249251847609,0.10056595215039768,0.010834035972558125,-0.062007132535778754,-0.06741788303442689,0.022777666951573145,0.12755710316153987,-0.3493738885540676,0.09835155684728322,0.07077147123515476,0.016099727347440976,0.056651339723878744,-0.0031964306617197607,-0.1024682703485408,0.00863457027827371,0.08982098862888942,-0.006812118293518061,0.009972037857016532,-0.008365949694152485,-0.052746037288130106,-1.808038914490527,3.963527178182983
2,11.3749598151228,12.0026732221985,9.62934309852973,6.53351883730036,3.50483857447521,-0.481429360868112,-0.393353156905673,-1.22043945618942,-1.20372229734211,-3.23259970421434,-3.2514112263883,-3.11767593057662,10.1745597729958,23.722480653022,36.9167609695822,29.8842146881621,22.922222664441,15.9652562813882,7.50535373022232,-2.86513116026413,-2.76309000505777,-1.75845325169724,-1.21777850097788,0.274807268803131,1.21613075287274,1.34013807842552,1.22354471400298,0.470440399175108,0.173688806744875,-0.400225112426288,-0.753083217168776,-1.35803548633319,-3.00278811045106,-4.40884592920756,-4.32508565628068,-4.22530316180562,-3.68349514452101,-3.14309870788246,-0.4679130515177167,-1.397219838701877,3.654888492130952,-1.4604594768034143,-0.278953257921138,0.04579720163034965,0.02977647937207344,0.02583637167630525,-0.1905019334405844,0.06858217224180913,0.06580414562414423,0.08456823405461564,-0.012193233926499014,-0.2167504404194538,0.17919880772281763,0.03308769779670146,-0.041398280430704405,-0.23575252392568286,0.17777818167421233,0.023900547998681895,0.03376674530631045,-0.09833142804622719,0.02491877009858487,0.012497639330143298,0.09068294004072691,0.24814789485367922,-0.22573118224849448,-0.0659580409604395,-0.07548065216180488,-0.007978005590412259,0.04514146312360109,0.03367806058090318,0.0445085236199919,-0.020811202411532493,-0.0007673187727393578,-0.01627229556913502,0.022542830418589555,0.10176646591181412,-1.7153609831029186,3.1015065852791177
3,7.25192501126179,7.67105446653233,6.53351883730036,4.99387893675989,3.18285547874695,0.34076006008394,0.158880493966289,-1.35616402206226,-1.89318236569148,-3.63823044456042,-2.41100175681598,-0.947345521951726,8.03720399117067,17.2793392388611,25.8419310390086,20.8466708061898,15.9187868623583,11.0037885582351,5.32615735857882,-2.95597653779515,-2.74419694411524,-1.45156980664407,-1.02915980122271,0.10485544277564,0.767439281946698,0.5513808248406,-0.0479721616575218,-1.06304564854808,-1.76683636414558,-2.84329050737566,-3.68811461078598,-4.69937404477002,-3.98016820420121,-2.8855850740306,-2.59677106747963,-2.7045188618834,-2.26729305877894,-1.83167538204904,-0.12540522592171904,-0.24555258884068573,-1.4646980169013473,3.871629618141034,-1.5992015623436577,-0.044972356291160503,-0.007001276375608731,0.1467147307310228,-0.06231503073084501,-0.0017867451427678374,-0.012335119969792521,-0.013052799173517005,0.07843654758270713,-0.03375588483809779,0.00670566213955836,0.003996833321443111,-0.00717290774722287,-0.02682956396499428,0.0040730197682832805,0.00035348756663739503,0.06274800586621161,-0.12264072801440608,0.15026614787477666,0.02658957063300124,-0.15443369427278064,0.2693525424956289,-0.14866913098561998,-0.02568903300544255,-0.015015476066871335,0.012448715323628972,0.0747883602150492,0.12411017546684076,0.008636968750336359,-0.1508009057939051,0.03104830132052952,0.01995697412353885,0.002938554279003316,-0.028892393879160264,-1.5103174603174605,2.2324602878349014
4,3.69072946270849,3.64255105105572,3.50483857447521,3.18285547874695,3.00677061338275,1.63812793127049,0.571414388194946,-1.92447653241373,-3.09706849630776,-4.95835273890866,-2.29927208088497,0.781379423995744,5.10650346332506,9.68598665882268,13.4485694758845,10.8644267353683,8.33778364127439,5.84047140031141,3.26026020291106,-2.62360608076046,-2.15253515796457,-0.254707912124029,0.221125422980776,1.1143438252097,1.588699981584,1.14234716949852,1.07853051703316,0.861545618722611,0.808617687588059,0.3460767855839,0.129918978301502,-0.185784203368371,-0.95918036393658,-1.31608640625153,-0.84695680223475,-1.14607458914483,-0.788237872097525,-0.433016747171084,0.05846156033509298,0.2955884348740198,-0.2766583300360703,-1.5903380483936425,2.521432085115341,-0.6585075968123776,-0.1679186223309281,0.0770122389906755,-0.06739001683288857,0.05052858238721245,-0.02169301620156562,-0.22242215549410763,0.22312197563127376,0.03267974610241413,-0.12597095198757183,-0.007665045159194024,0.02794505844276048,0.13301245441408904,-0.16712555630917209,-0.0799405954170634,0.04269129398237101,-0.021446944605157302,0.16107479646152328,0.1945943703649818,-0.8132617452615766,0.28612959765630985,0.17285374047767268,0.019831287122192794,0.002462121815093029,0.006161545515061857,0.0018897516703144576,-0.0551478782700824,-0.018310164040223002,-0.010894511303802852,-0.049848981955698854,0.08550018424244775,0.00924436297735342,-0.04486934317308363,-1.122478238607271,1.7311183129361059
31,-0.579051281334646,-1.20415902117427,-0.481429360868112,0.34076006008394,1.63812793127049,3.21120937263794,1.18954680209733,-2.12465635594054,-4.12494690859357,-5.52783039774157,-1.53991658883212,2.8969828608037,3.2942090491061,3.66746135476613,2.87147485991817,2.22619052978772,1.64215324673464,1.10219244625593,1.26048782572703,-2.29385296973777,-1.58494356973515,0.766083122606881,1.22736976413539,1.70414590806464,1.8851741469195,2.17257747131849,2.60707040988026,3.17398723431836,3.76890579897436,3.84826447554898,4.16604575909443,4.46569382862257,1.90968696007016,-0.0894143207854035,0.601369793930786,0.140662508135224,0.448983309300084,0.754854206392059,-0.09987256543951112,0.3103998867795763,0.04381660128256437,-0.04821938166810335,-0.6570971932114401,1.3085416473086229,-0.26128804745069434,0.17197184255698952,-0.020537095107046432,-0.06068380916290713,0.0047550483698599304,0.09373593923557187,-0.17049621890589492,-0.02641463772896259,0.032137136516524445,0.028032003373852296,0.05022432274346333,0.06798176608633269,-0.10408078965813454,0.14429339047268158,0.020186222406616636,-0.025263429774047406,-0.13736012372814374,-0.11897202305331182,0.529456105696887,-0.4195355441753547,-0.03493666833870307,-0.02956197763601037,0.028232411758309716,0.13163506918939932,-0.009776093741602356,-0.11573212484109333,-0.08168779193252103,0.21874331409595324,-0.16100574631157194,0.09336404074593514,0.00602607702176136,-0.057275042917995456,-0.9523809523809524,1.7891923799966127
32,-0.91962243870986,-0.839695271735155,-0.393353156905673,0.158880493966289,0.571414388194946,1.18954680209733,2.08409479921001,-0.0922322290298176,-2.75852801164603,-3.90937532176681,-0.859280740837061,2.46485480935231,5.47478082623604,8.43243647754987,10.0774064910073,7.92194677481095,5.83578507124588,3.78312051012919,1.87869031534713,-1.87251852620226,-0.968471343710648,1.00435311191063,1.23517613167969,1.08397073283967,1.12539633309018,1.27756829897129,0.683667849025493,0.0836695289693302,-0.505585955781759,-1.59960871440898,-2.69444082187042,-3.65943860057368,-2.01959252509927,0.226380302525561,0.615460565619275,0.426358581929589,0.520422766669514,0.614486025179715,0.07117559992242023,0.09388793749565513,0.024485558372856087,-0.01381563157533289,-0.1710968706860555,-0.2593803465394083,1.623729042416435,-0.5758025721321013,-0.02104544870828545,0.1031017509195187,0.0864908116630589,0.09845277916296255,-0.03476954880184456,-0.21518470196967063,0.00757171215217272,0.16939105406138444,0.030409460954795905,-0.12935464258739696,0.14622938413000408,0.2855914021523066,-0.04011055599312018,-0.02701865040260409,-0.23615435147764932,0.19960235944891433,-0.05676792428587974,-0.13322357318489697,0.08340655391560917,0.0758155974076947,-0.1156129748635586,-0.2147139671533711,0.03751181116610725,0.15995157284732625,0.035671936867828546,-0.014481795621359853,0.07148014537714821,0.003040700727438194,-0.015392873272382373,-0.05233904908643258,-1.175115207373272,1.4401717950334976
33,-1.81485450434706,-1.17213387445947,-1.22043945618942,-1.35616402206226,-1.92447653241373,-2.12465635594054,-0.0922322290298176,28.0079091995221,56.1326822687504,83.7549472964387,41.5703045046299,-0.235638346558406,0.677805763407455,1.48093816207996,2.3214627167521,1.75862223175495,1.21582568600682,0.685431586893545,-0.390380949612182,16.3639920809096,2.86354833802012,-8.2424808569045,-6.61676799768003,-4.90978993576386,-2.91366485535637,-0.664116376250532,-1.95620085612567,-3.32128266308831,-4.57772471911045,-5.91196877747726,-7.01111382557278,-7.96354136389917,-5.74672258806013,-3.4416925210734,-1.3085595981831,0.0239125861584111,1.39730765558864,2.76708252295485,0.09052433839755551,-0.19725551487127585,0.025623864801464967,0.14590693326145923,0.07688132085794068,0.1713866125794821,-0.575399319150553,1.2081341680759967,-0.30525467776270904,-0.05431067780811775,-0.1684939209799882,0.08840459368316238,0.013821882444191724,-0.03327752761929687,0.04198670659674375,-0.029713823135495056,-0.01005386576661581,0.0016904876034329584,-0.017399519622148512,-0.17120298467116252,0.15018480660889755,-0.0287384864633931,-0.01629062130826469,0.032637931297011084,0.019756161729335225,-0.04630771633989684,-0.002598032953277978,-0.15999534909634902,0.008322100048988486,0.13623651785684188,0.23742866086551237,-0.19784647580726078,-0.04290896576652855,-0.08455762913217804,-0.06836173137817758,0.11866894551889226,0.00951403032656561,-0.06606080791137733,0.5806451612903226,5.291305056365783
35,-1.85900491076132,-1.12119789672306,-1.20372229734211,-1.89318236569148,-3.09706849630776,-4.12494690859357,-2.75852801164603,56.1326822687504,121.292721027479,179.522583559786,86.6082995235073,-4.12303040783757,-6.54403121647591,-9.02834732746273,-8.9374526593392,-7.0960484022712,-5.25739688252133,-3.36536851458247,-2.69253444568223,36.4650119188609,8.47069781485691,-17.1632720438481,-14.4976601920101,-10.6443922390037,-6.44135459916189,-2.22442470374077,-3.81166125400181,-5.70391678769255,-7.24942346146983,-8.6615553299499,-9.75774864275312,-10.9484385256881,-10.3476811160611,-10.2462801096167,-5.46764967175587,-1.90051229700285,1.42609917599467,4.75131259630862,0.0682602027077076,0.11068825285510592,-0.18799268396709445,-0.05639352739525083,-0.062466739298026416,-0.02308318484300563,-0.02166035304971717,-0.3054276849603125,1.1105097288802936,-0.6702171452554911,0.1504073563573503,-0.08369073734480632,0.060969810951538576,0.2386455452550533,-0.0328080641052951,-0.1444194828838546,-0.00088529056136605,-0.06323066047170085,0.02824662037833357,-0.03962681784348616,-0.05974579971747153,0.06640887611194801,0.00480073751843887,-0.008693565598573729,-0.004549725701611207,0.030283549342059336,-0.13784063962841195,0.10175485841072453,0.07647974320673608,0.01688055455823404,-0.05019299393481425,-0.03534325531165507,0.031207789732038863,0.1380041478645002,-0.00496632664044673,-0.16882634704367103,-0.018477430020515512,0.10411611342180975,0.782258064516129,11.012843457866778
36,-4.30108743173446,-3.27127329037677,-3.23259970421434,-3.63823044456042,-4.95835273890866,-5.52783039774157,-3.90937532176681,83.7549472964387,179.522583559786,271.651612903226,136.545579817223,3.72096830838221,-2.25628211422189,-8.41445345432113,-15.5627552451636,-12.9324114341549,-10.2316400525268,-7.4990333662178,-6.01036500271717,54.7237433264754,12.5170778432241,-26.2936747663572,-22.2290176012024,-16.1813144676147,-9.57115084234394,-2.55483657760411,-4.92489457263839,-7.1484808427054,-8.91109995070425,-11.746163753544,-14.1640184213739,-16.8725097948192,-16.3148557704506,-14.6127524943378,-7.53943459976753,-3.19998254582031,2.0894119335073,7.37460575415287,-0.017039895128049334,-0.06246345594256787,0.06655717132754356,-0.004003793285204038,0.04794433110834911,-0.058972445599845616,0.10331934468399726,-0.0539869547499078,-0.6706574226265424,0.7836122920947965,-0.5027661663431727,0.18355382665271,0.00369164618834266,-0.16548663023914414,0.034630087771716354,0.04374212494708319,0.020602027451833354,0.05700342354141007,0.005259518053699327,-0.11798059686769989,0.04433929662155791,0.001137033564343423,0.015656252054250627,-0.018204445666595997,0.0003447608142483579,0.0023959373379445347,0.07609422820451757,-0.043987725024138884,-0.03547636069266572,-0.007537143944860144,-0.00893730683232521,0.05796515872540659,-0.043826153531140666,0.0037317649341414494,0.017641153610530747,0.06761333257166162,-0.01176623666668968,-0.09527039680831537,2.513978494623656,16.481553716298283
