,Cov_0,Cov_1,Cov_2,Cov_3,Cov_6,Cov_31,Cov_32,Cov_33,Cov_35,Cov_36,Cov_43,Cov_44,Cov_45,Cov_46,Cov_48,Cov_49,Cov_50,Cov_51,Cov_52,Cov_53,Cov_55,Cov_58,Cov_59,Cov_61,Cov_62,Cov_63,Cov_64,Cov_65,Cov_66,Cov_67,Cov_68,Cov_69,Cov_70,Cov_71,C_0,C_1,C_2,C_3,C_6,C_31,C_32,C_33,C_35,C_36,C_43,C_44,C_45,C_46,C_48,C_49,C_50,C_51,C_52,C_53,C_55,C_58,C_59,C_61,C_62,C_63,C_64,C_65,C_66,C_67,C_68,C_69,C_70,C_71,Mean,Std
0,385.88167574191,414.145047205185,442.688297700609,398.488666823101,354.796486041053,42.0878640511159,-4.634103442607,-3.04524503994761,0.113061441092267,1.7495843699753,7.05943867563502,-0.853138813318843,-9.78155651950602,-8.34024679787897,5.17067219009259,1.89398385795522,0.272384534016537,-0.86275203372231,-3.62701577137112,-7.8129537830753,-1.91915172050833,4.41114202916083,8.63851434344865,10.0613172995816,10.7147448814685,16.7544282284309,81.6152738683324,57.8657583140688,22.5050825137571,-13.2992143411615,-17.512076429076,0.960334619167602,12.8944335906527,32.5509608932467,1.0846119389252558,-1.6890474485140254,0.5053941104547144,0.11237942666027952,0.02315544275785129,0.20886432285177112,-0.28408130226236955,0.08228514168365085,-0.012913494612267895,-0.023927344469633332,0.05422137605745391,0.02696496923287206,-0.060516696945459705,0.030036431915419933,0.038313342190940514,-0.00014607051080020732,-0.031617670049006626,0.04489690268031365,-0.005536179556386794,-0.004158982715360364,0.0015636865965384067,0.03488158959406859,0.043346666996055334,0.00519777263443652,-0.024751463621663687,-0.0177872335105189,0.018026553838743974,-0.06555352852365345,-0.004212592356862797,0.0036848402316546672,-0.0030523177409406453,0.01838967155225813,-0.001687979249906263,-0.025232689123913885,4.987794612794613,19.643616666538517
1,414.145047205185,459.852364074147,505.76562183236,463.179148889327,420.99522845531,50.0114656936072,-6.0298523035849,-3.54583034679348,-0.694609218313001,1.2293090187956,7.1166537588366,-0.612892427944315,-9.54420979390575,-9.9625285366764,3.26598071394394,0.448495314813124,-0.767955874457699,-1.08855504614453,-4.43780724473984,-9.40439893690748,-2.75118778493209,4.37070767190605,9.5212035678715,11.3665354792701,12.5395071640978,19.1472959623848,58.2571853291308,43.5049925878355,14.5982751865991,-14.8675313267172,-24.5911421009586,-11.7125639361527,-5.61076871705376,9.07519419394725,-1.7194214426537857,3.4432987936470076,-1.522347894089883,-0.23272894335005173,0.09233089483340329,-0.028566417606684484,0.05105013606226416,-0.02632393205773016,-0.008846737097977786,-0.024646815210086024,-0.07253552539849172,-0.0027148608007692434,0.10922519003679819,-0.058422253798140415,-0.02677188102092616,-0.003635533876550921,0.018481037834010713,0.029322918706798234,0.0046897890009321465,-0.004803412165011109,-0.009473679153306625,-0.051601878333529326,-0.02509982046718038,-0.04354529692784775,0.03777531410934011,0.03702871797480129,-0.03133152990255727,0.007113296421852043,-0.004078136037738836,-0.013127191037819336,0.0086631758634801,-0.006367487814783325,-0.0029847423847097106,0.01599200536450289,5.295888648388648,21.44393536816754
2,442.688297700609,505.76562183236,569.232738796527,528.265997003311,487.611329798431,58.1032956188256,-7.40394788221146,-4.14042852704275,-1.59316713161941,0.617862677633745,7.0695688897132,-0.381300620815371,-9.18282789572709,-11.4799221783317,1.4061783549207,-0.902892284548278,-1.66063945555443,-1.12856280893596,-5.05048384278696,-10.7939150328304,-3.41372331654226,4.46469042959783,10.5032842448272,12.7329142744172,14.430198225818,21.5900229980702,35.1148775937323,29.2475639531837,6.66045666695056,-16.5805420283547,-31.7034767819495,-24.2410257144254,-23.7414144878845,-13.8538354605191,0.5588820789701567,-1.576694109809691,1.7873851657356583,-1.1306360793625152,0.3393690949250563,-0.4853681897674238,0.5381764458017199,-0.1267096364979468,0.020145054703192607,0.02290033955529626,-0.06385067938734233,-0.03091289233209798,0.05052005584243726,-0.049641239322065496,-0.004424610669848838,0.011682369117233082,0.08046131924607436,-0.07907684360851731,0.006007541653290476,0.021861680066783004,0.007432904551955444,-0.009417100985505349,-0.08310428505988159,-0.12862949284580844,0.12814222732779432,0.015546479300245112,-0.026944562815024074,0.11763229916027648,0.016485023483174377,-0.013669130149836728,0.02311953785333063,-0.010816172613315274,-0.021527209706698337,0.015877712288136524,5.548427128427128,23.85838927498096
3,398.488666823101,463.179148889327,528.265997003311,517.442265615452,506.527971549207,41.85678503108,-4.32368054407193,-0.228205087626129,-0.210282565914092,-0.713782525857145,2.87449041557129,-3.33678220984686,-10.8765730023286,-13.31107891007,0.632370437523737,-0.0333259328686848,0.634826790011635,1.40494294875301,-1.97026401404293,-7.0726455673204,-2.23292802662161,3.07577707284168,6.91950003190342,7.73889003904177,9.77091316377904,16.6066447090968,20.5914066429151,21.6792900837483,3.1278004918778,-16.0817015423916,-34.0145631869674,-31.8108696436607,-35.516328415953,-29.4872441356335,0.11564269360687365,-0.24259222763065907,-1.1242067362030663,2.429625905358008,-1.16331335371107,0.08065918035606685,-0.05662644745340126,0.07943185337630342,0.014939298844633077,0.05217476192501109,0.0017220872581325693,-0.002129327881570244,-0.05153325042510815,0.1097152445619464,-0.10562126361389162,-0.019520586514245267,-0.060511357094381796,-0.03886408473460275,-0.010299806134383957,0.0421940854883996,0.01521830444482315,-0.002339719444895113,0.0625980523258941,0.42059807006624256,-0.30078239921130007,-0.07810943522178079,-0.03377429141639201,0.013528152648223884,0.007969420465320969,-0.007936183897602098,-0.025737381943123888,-0.020733760653015375,0.04506989810757888,-0.008165041477701543,4.730727513227513,22.7471375257515
6,354.796486041053,420.99522845531,487.611329798431,506.527971549207,526.087255852831,26.0139818203385,-1.07211220799177,3.66505632440072,1.02024537660857,-2.3024612902144,-1.74237172102604,-6.65201620693974,-12.8258683113994,-15.2738767155582,-0.0613380747183714,0.98260894419913,3.09327132531832,4.04360741378394,1.67201817618179,-2.36026237321644,0.346592649099095,3.4923672143812,5.52898226331503,5.33481270996383,6.9209827736196,12.4235790356584,7.56904761245805,15.3994161327438,0.645639108529377,-14.7041672098351,-34.9801574931847,-38.0867707318126,-45.838212041802,-43.4490078657279,0.015552642219013322,0.093257258886448,0.34193956438305284,-1.1581576027970888,0.7364981775943845,0.20515865144053014,-0.23819705207064418,-0.007286883915306564,-0.020056356553149364,-0.024956988426634328,0.07091319010125127,0.01597725514251812,-0.02839569476395413,-0.0257545314678768,0.08279547461359427,0.013565579104435134,-0.0054874217732588295,0.04409697689126413,-0.014786652287480526,-0.035097094406619726,-0.008268219839942336,0.021021368526580732,-0.0010244050931292796,-0.24364051505933915,0.15544187026551964,0.04053178120060682,0.09421317076109118,-0.12280397419773975,-0.02300222669714127,0.04779492845995891,-0.0013973281262153717,0.018348659464403366,0.002362901510269786,-0.01036543764941211,3.7327248677248677,22.936374078149985
31,42.0878640511159,50.0114656936072,58.1032956188256,41.85678503108,26.0139818203385,25.2619647101604,8.24113836278308,7.55804848735967,4.60922516364966,2.56719928666213,2.23204123761456,2.02760251927434,1.57895366669261,1.36309887065127,0.39705272248499,1.46428105643239,2.59116370951328,-0.0427476491023305,-0.503897690159197,-1.65859592795054,-1.49880117341063,-1.14160357358757,-0.579749835116079,-1.18599204138205,-0.690348555086316,-0.167670857789725,-5.74455063636146,-4.62521998841284,-2.9060027770068,-1.33719200180503,-4.39340866680485,-5.00292871433802,-5.1519596835299,-5.32960543216077,0.181813762935348,-0.02983975937656124,-0.47779669974751876,0.07960921232753776,0.2058809240182756,0.8812455362695107,-0.8735560762900082,0.15519988312959435,0.02214754620091411,-0.075524170814749,0.09815949768116007,-0.013651157447510363,-0.1674088098911332,0.05425289022152022,0.18824773714409654,-0.0035298052533928436,-0.17581057040005707,0.03446977185158661,-0.053943097770675845,0.08124769817459955,0.03565247149951993,0.03135820375847914,-0.019784978362647504,-0.12293813083091354,0.06907504618362593,-0.01334105408303928,0.05051849045867354,-0.07959076479978797,-0.00032839768385752456,0.011159403933506099,0.0014328303765817605,0.0071043924505189236,-0.035421849583011665,0.0036869321802545547,-1.7393518518518518,5.025133302725446
32,-4.634103442607,-6.0298523035849,-7.40394788221146,-4.32368054407193,-1.07211220799177,8.24113836278308,11.3246172573436,11.8496759852833,6.97022001750857,2.67113629572396,-0.0039385431208558,0.0171307283959423,-0.209704355769702,0.890866106555997,1.21113329521326,2.75872109965823,4.2335186828631,0.858094178071516,1.06724135645288,0.904585690157863,-0.885834999448803,-2.50372888766756,-3.6303116882324,-5.11104032541228,-4.42102997069002,-4.06239020271366,-4.64078927419256,-3.43145294465372,-1.88307951509575,-0.5419163916731,-4.52910445457788,-6.19830024300187,-6.91027782043511,-7.50331814527765,-0.3002941570530785,0.05036004116968351,0.5230970120414586,-0.04977461236717601,-0.23689412719058675,-0.8675548256045332,2.1299481495942802,-0.8528241900729533,-0.21980675142715153,0.3453436694380849,-0.21393921970104446,-0.014883197792316057,0.01713883842197219,-0.010649810778998436,-0.16629323130898552,0.06540042576065375,-0.2202060971060788,0.23496288459607365,-0.01816053378648848,-0.17988645945484644,-0.025109830469579108,-0.06885366003449822,-0.06838285426255755,0.3329877340642691,-0.3000018882392151,0.23107976827934734,-0.030672279701989276,-0.01207054952004292,0.051774238405686325,0.04426856002632546,-0.052608177746456555,-0.024674708380690368,0.07518358195289321,0.018644179910831202,-2.1902777777777778,3.363720746040544
33,-3.04524503994761,-3.54583034679348,-4.14042852704275,-0.228205087626129,3.66505632440072,7.55804848735967,11.8496759852833,15.414214559387,9.8683520261613,5.01766202572644,0.28046701624626,-0.245747917651893,-1.16241157240095,0.0523566848546087,0.651951848921875,1.63365673503367,2.59535959591585,-2.14724372561997,-2.7431712967695,-3.49959477119014,-4.08934020681705,-4.68184175835662,-4.67365765897206,-4.56213278971536,-2.97551788291276,-0.875057672499261,-9.07321801984221,-6.68234433088403,-4.01527209604458,-1.65025850222655,-8.42590990415538,-11.7644166203325,-14.2498147025639,-15.5233535177853,0.10948506372590878,-0.013112194995096697,-0.13207589671697662,0.0748114422518245,-0.000383586845582496,0.15576177174726447,-0.8486369838918271,1.4210580673986448,-0.8545956539055648,0.10906328758890017,-0.02563530087721817,0.06390364074947723,0.2877575976515593,-0.13643267279026458,0.07006747113036885,0.008318360987312303,-0.3085346834497022,6.047237274104736e-05,0.007037234719467957,-0.10962806946025216,0.15338952542292664,0.5066751317221859,-0.08733726606990565,-0.23078755054304553,-0.03603254446518424,-0.004866773822068197,-0.07543199229866714,0.13153215214777228,0.01696023713906606,-0.05212189270962394,-0.020355346423784795,0.07107722804804173,-0.029381102205160263,0.003793125836739942,-2.0,3.9248203219239186
35,0.113061441092267,-0.694609218313001,-1.59316713161941,-0.210282565914092,1.02024537660857,4.60922516364966,6.97022001750857,9.8683520261613,8.20106673052363,5.50085903061605,1.16802403460956,0.790140683852275,-0.100649178126712,0.468479349196243,0.340703580081387,0.760478915567157,1.35136521759313,-1.6936472547604,-2.03827148467716,-2.52025986974512,-2.39779155636834,-2.45779066217082,-3.01720238406502,-3.00924803614841,-1.44653821461968,1.65056485365341,-5.8974864032451,-4.28941502161423,-2.45056824000077,-0.964326174965957,-6.08941179898416,-8.09265356138751,-9.34343603608258,-9.95013542231471,-0.004861811655258331,-0.014126859552771006,0.015240706250922243,0.015875386189816224,-0.01964119055075044,0.021786912748373348,-0.22829374804979352,-0.8617829396785075,2.4319615966864148,-1.2523006645125845,0.15042016605809314,0.06053647322639114,-0.04895451234190459,-0.00178913683288022,-0.014266199899369754,-0.019136886301661,-0.05474085333177939,0.1980943319863885,0.21437063921640445,0.3264068496127415,-0.11761693308224815,-0.806703243391872,-0.011805602697172688,0.3402048055327267,0.4450090589488372,-0.3090873555154161,0.009429023275120884,0.0015731673655756029,-0.04408296453332351,-0.01685797931209859,-0.00012153166436330286,0.014313730174951396,0.0065474894712639975,-0.011295021804990153,-2.4961111111111114,2.8620039710880256
36,1.7495843699753,1.2293090187956,0.617862677633745,-0.713782525857145,-2.3024612902144,2.56719928666213,2.67113629572396,5.01766202572644,5.50085903061605,5.89482247765006,2.92536394273642,2.07936267429858,0.562659217851306,0.475781702357317,-0.255142486100818,-0.136229997494069,0.447692794382929,-0.466786761063206,-0.418398833567428,-0.552878736211709,-0.705062492072522,-1.21080942669995,-1.7140265189238,-1.27408867025989,0.399785300859711,3.2038313578462,-5.9482591825166,-4.39724488284821,-2.5694478300835,-1.15590878815276,-5.61620549242857,-6.4211156752764,-6.85816832588195,-7.0354167078326,-0.041330072092414495,-0.02930533791395102,0.030937101059208362,0.046606979248659544,-0.025848586847185873,-0.08284850493586646,0.3545831453263728,0.10345596866109469,-1.252689058804068,1.583221938949007,-0.24078302988123038,-0.26247995481769615,-0.027104202391979717,0.10754674492629637,0.05423097696036565,0.014330522974115094,0.0076121036259487905,-0.0468898963857319,-0.1831027931463217,-0.03305101699533914,-0.21157863552536021,0.24729833390178807,0.6029676610446025,-0.3173326851783444,-0.30635062968580923,0.04990811611327049,0.04948219317029353,-0.00363335879961489,-0.06025541459972184,0.0140246991764923,0.044855076233237014,-0.07113748371497794,0.10744269919392067,-0.07802119061936678,-2.608888888888889,2.4258653049273087
